,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
0,"Acy, Quincy",2012,Y,203112,quincy_acy,1,SAC,Sacramento,kings,1610612758,Kings,2015
1,"Adams, Jordan",2014,Y,203919,jordan_adams,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
2,"Adams, Steven",2013,Y,203500,steven_adams,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
3,"Afflalo, Arron",2007,Y,201167,arron_afflalo,1,NYK,New York,knicks,1610612752,Knicks,2015
4,"Ajinca, Alexis",2008,Y,201582,alexis_ajinca,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2015
5,"Aldrich, Cole",2010,Y,202332,cole_aldrich,1,LAC,Los Angeles,clippers,1610612746,Clippers,2015
6,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
7,"Alexander, Cliff",2015,Y,1626146,cliff_alexander,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
8,"Allen, Lavoy",2011,Y,202730,lavoy_allen,1,IND,Indiana,pacers,1610612754,Pacers,2015
9,"Allen, Tony",2004,Y,2754,tony_allen,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
10,"Aminu, Al-Farouq",2010,Y,202329,al-farouq_aminu,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
11,"Amundson, Lou",2006,Y,200811,lou_amundson,1,NYK,New York,knicks,1610612752,Knicks,2015
12,"Andersen, Chris",2001,Y,2365,chris_andersen,1,MIA,Miami,heat,1610612748,Heat,2015
13,"Anderson, Alan",2005,Y,101187,alan_anderson,1,WAS,Washington,wizards,1610612764,Wizards,2015
14,"Anderson, James",2010,Y,202341,james_anderson,1,SAC,Sacramento,kings,1610612758,Kings,2015
15,"Anderson, Justin",2015,Y,1626147,justin_anderson,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
16,"Anderson, Kyle",2014,Y,203937,kyle_anderson,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
17,"Anderson, Ryan",2008,Y,201583,ryan_j_anderson,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2015
18,"Antetokounmpo, Giannis",2013,Y,203507,giannis_antetokounmpo,1,MIL,Milwaukee,bucks,1610612749,Bucks,2015
19,"Anthony, Carmelo",2003,Y,2546,carmelo_anthony,1,NYK,New York,knicks,1610612752,Knicks,2015
20,"Anthony, Joel",2007,Y,201202,joel_anthony,1,DET,Detroit,pistons,1610612765,Pistons,2015
21,"Ariza, Trevor",2004,Y,2772,trevor_ariza,1,HOU,Houston,rockets,1610612745,Rockets,2015
22,"Arthur, Darrell",2008,Y,201589,darrell_arthur,1,DEN,Denver,nuggets,1610612743,Nuggets,2015
23,"Asik, Omer",2010,Y,201600,omer_asik,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2015
24,"Augustin, D.J.",2008,Y,201571,dj_augustin,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
25,"Babbitt, Luke",2010,Y,202337,luke_babbitt,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2015
26,"Bairstow, Cameron",2014,Y,203946,cameron_bairstow,1,CHI,Chicago,bulls,1610612741,Bulls,2015
27,"Barbosa, Leandro",2003,Y,2571,leandro_barbosa,1,GSW,Golden State,warriors,1610612744,Warriors,2015
28,"Barea, Jose Juan",2006,Y,200826,jose_barea,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
29,"Bargnani, Andrea",2006,Y,200745,andrea_bargnani,1,BKN,Brooklyn,nets,1610612751,Nets,2015
