PLAYER,TEAM,pullup_GP,pullup_MIN,pullup_FG3A,pullup_FGA,shooting_FGA_DRIVE,shooting_FGA_CLOSE,catchshoot_FG3A,catchshoot_FGA,drives_DVS,passing_PASS,passing_AST_POT,rebounding_OREB_CHANCE,rebounding_DREB_CHANCE,defense_BLK,defense_STL,speed_AV_SPD,touches_TCH,touches_TOP
Stephen Curry,GSW,77,36.7012987013,5.15584415584,10.3376623377,2.90909090909,0.220779220779,2.49350649351,2.96103896104,6.03896103896,53.5064935065,15.4285714286,1.20779220779,5.87012987013,0.168831168831,1.62337662338,4.2,80.8181818182,6.93896103896
Kevin Durant,OKC,81,38.8930041152,2.7037037037,8.16049382716,3.2962962963,1.04938271605,3.1975308642,4.81481481481,5.92592592593,39.3086419753,10.3086419753,1.16049382716,8.9012345679,0.728395061728,1.27160493827,3.9,70.4567901235,3.56008230453
Carmelo Anthony,NYK,77,38.9287878788,1.80519480519,8.33766233766,1.4025974026,1.22077922078,3.36363636364,5.74025974026,2.64935064935,41.0649350649,6.24675324675,2.97402597403,8.51948051948,0.662337662338,1.23376623377,3.7,70.2857142857,3.67987012987
Kyrie Irving,CLE,71,35.2960093897,2.47887323944,8.47887323944,3.53521126761,0.507042253521,2.18309859155,3.30985915493,6.60563380282,56.3661971831,11.7464788732,1.87323943662,4.87323943662,0.323943661972,1.52112676056,4.1,82.4647887324,6.20352112676
John Wall,WAS,81,36.5522633745,1.96296296296,8.88888888889,2.64197530864,0.123456790123,1.61728395062,1.81481481481,6.45679012346,70.4567901235,17.2098765432,1.0,5.46913580247,0.493827160494,1.82716049383,4.0,96.7530864198,7.99074074074
Brandon Jennings,DET,80,34.3564583333,3.5875,7.4,2.8125,0.2,2.025,2.25,5.7875,60.3125,15.0375,1.475,3.2875,0.1,1.2625,4.2,82.9,7.13958333333
Chris Paul,LAC,62,35.2639784946,2.16129032258,8.46774193548,2.53225806452,0.354838709677,1.06451612903,1.40322580645,5.56451612903,72.064516129,19.8225806452,1.35483870968,5.90322580645,0.0645161290323,2.48387096774,4.0,97.2258064516,7.33709677419
Damian Lillard,POR,82,35.981300813,3.28048780488,6.12195121951,4.46341463415,0.378048780488,3.26829268293,3.68292682927,7.73170731707,61.2682926829,10.9268292683,1.09756097561,5.70731707317,0.268292682927,0.780487804878,4.2,85.3292682927,7.05711382114
Isaiah Thomas,SAC,71,34.8823943662,2.95774647887,7.07042253521,3.84507042254,0.239436619718,2.02816901408,2.49295774648,8.45070422535,59.6056338028,13.0,1.25352112676,4.18309859155,0.112676056338,1.28169014085,4.0,86.0704225352,7.81126760563
DeMar DeRozan,TOR,78,38.3700854701,0.538461538462,7.60256410256,3.01282051282,0.410256410256,2.03846153846,4.65384615385,7.16666666667,35.4230769231,8.32051282051,1.25641025641,5.60256410256,0.358974358974,1.07692307692,4.1,62.3717948718,3.16517094017
Kemba Walker,CHA,72,35.9763888889,1.55555555556,7.61111111111,3.18055555556,0.236111111111,2.75,3.16666666667,6.15277777778,77.6805555556,12.1944444444,1.11111111111,6.47222222222,0.444444444444,1.18055555556,4.2,101.833333333,7.65439814815
James Harden,HOU,73,38.2625570776,3.15068493151,6.24657534247,3.32876712329,0.356164383562,3.24657534247,3.41095890411,6.7397260274,45.301369863,11.6164383562,1.57534246575,5.91780821918,0.397260273973,1.57534246575,3.6,73.2465753425,4.89360730594
Jamal Crawford,LAC,69,30.5809178744,2.07246376812,6.53623188406,2.02898550725,0.289855072464,4.30434782609,4.94202898551,2.8115942029,30.1594202899,5.88405797101,0.768115942029,2.66666666667,0.173913043478,0.855072463768,4.0,50.6811594203,2.66739130435
Paul George,IND,80,36.4175,1.9875,6.3875,2.175,1.0875,4.125,5.3625,4.2625,45.9875,7.425,1.9875,9.0375,0.275,1.8875,4.2,71.4875,3.42229166667
Bradley Beal,WAS,72,34.6773148148,0.958333333333,7.29166666667,1.38888888889,0.319444444444,3.68055555556,4.95833333333,3.18055555556,37.9722222222,6.11111111111,1.38888888889,4.65277777778,0.25,0.972222222222,4.3,58.625,2.25856481481
Dirk Nowitzki,DAL,80,32.9995833333,0.3125,4.9875,0.25,1.375,3.7,7.5,0.4125,42.0125,5.2625,1.025,9.4375,0.5625,0.9125,3.7,63.825,1.62020833333
Goran Dragic,PHX,76,35.3701754386,1.85526315789,5.32894736842,4.13157894737,0.368421052632,1.96052631579,2.26315789474,9.57894736842,54.6052631579,12.1578947368,1.88157894737,4.10526315789,0.289473684211,1.36842105263,4.3,78.75,6.44057017544
Monta Ellis,DAL,82,37.0020325203,0.890243902439,6.01219512195,5.25609756098,0.268292682927,1.64634146341,2.28048780488,10.1951219512,46.6341463415,11.1707317073,1.20731707317,5.0487804878,0.280487804878,1.71951219512,4.1,71.3658536585,4.56605691057
Kyle Lowry,TOR,78,36.4153846154,3.15384615385,5.78205128205,3.10256410256,0.269230769231,3.02564102564,3.14102564103,6.48717948718,68.6153846154,14.1282051282,2.58974358974,6.20512820513,0.192307692308,1.55128205128,3.9,91.7435897436,6.88098290598
Brandon Knight,MIL,72,33.5224537037,2.33333333333,6.16666666667,3.875,0.402777777778,2.19444444444,2.68055555556,6.90277777778,59.7222222222,9.91666666667,1.72222222222,5.06944444444,0.236111111111,0.958333333333,4.2,84.5138888889,6.28402777778
LeBron James,MIA,77,37.9664502165,2.06493506494,5.61038961039,3.46753246753,1.67532467532,1.57142857143,2.09090909091,7.38961038961,49.3376623377,12.0,1.5974025974,7.77922077922,0.337662337662,1.57142857143,3.8,77.6883116883,5.05086580087
Russell Westbrook,OKC,46,30.993115942,3.34782608696,8.67391304348,3.34782608696,0.630434782609,1.26086956522,1.36956521739,6.63043478261,48.3043478261,12.7173913043,2.34782608696,5.89130434783,0.152173913043,1.91304347826,4.2,75.9130434783,6.52862318841
LaMarcus Aldridge,POR,69,36.4248792271,0.130434782609,6.49275362319,0.608695652174,2.13043478261,0.0869565217391,6.71014492754,0.927536231884,41.7826086957,5.30434782609,3.98550724638,12.5942028986,0.985507246377,0.913043478261,3.9,68.5217391304,1.93140096618
Arron Afflalo,ORL,73,35.1219178082,0.835616438356,5.15068493151,1.47945205479,0.58904109589,3.17808219178,5.2602739726,3.05479452055,39.8630136986,7.34246575342,0.931506849315,5.12328767123,0.041095890411,0.479452054795,4.1,59.6438356164,2.30776255708
Mike Conley,MEM,73,33.6828767123,1.3698630137,5.24657534247,4.0,0.369863013699,2.52054794521,2.90410958904,7.52054794521,65.7808219178,11.8356164384,1.19178082192,3.80821917808,0.178082191781,1.50684931507,4.2,87.8356164384,7.4
Gerald Henderson,CHA,76,32.1910087719,0.276315789474,5.5,1.31578947368,1.05263157895,1.10526315789,2.60526315789,3.0,38.5921052632,5.35526315789,0.776315789474,5.28947368421,0.394736842105,0.671052631579,4.4,56.0657894737,1.83421052632
Jarrett Jack,CLE,80,28.2791666667,0.9375,5.25,1.4,0.1,1.3125,1.575,2.9875,44.575,8.7,0.4375,3.4625,0.275,0.7,4.1,58.4375,4.00833333333
Nick Young,LAL,64,28.4809895833,1.859375,6.0,1.875,0.359375,3.4375,4.078125,3.21875,21.90625,3.4375,0.921875,3.75,0.1875,0.71875,4.1,40.765625,1.90546875
Gerald Green,PHX,82,28.5467479675,1.64634146341,4.30487804878,1.17073170732,0.243902439024,4.40243902439,5.20731707317,2.35365853659,22.0731707317,3.12195121951,0.914634146341,4.56097560976,0.512195121951,0.853658536585,4.1,38.6585365854,1.5762195122
Dion Waiters,CLE,70,29.855,1.04285714286,5.6,3.44285714286,0.342857142857,2.47142857143,3.32857142857,7.35714285714,28.4285714286,5.77142857143,0.985714285714,3.6,0.242857142857,0.9,4.2,48.5428571429,2.85523809524
Patty Mills,SAS,81,19.0,1.20987654321,3.6049382716,0.716049382716,0.320987654321,2.7037037037,2.97530864198,1.14814814815,32.5802469136,3.79012345679,0.79012345679,2.6049382716,0.111111111111,0.83950617284,4.8,43.7037037037,2.41481481481
Mo Williams,POR,74,24.9076576577,1.01351351351,4.74324324324,1.22972972973,0.121621621622,1.94594594595,2.32432432432,3.36486486486,41.4594594595,8.58108108108,0.905405405405,2.83783783784,0.135135135135,0.743243243243,4.2,55.2837837838,4.31328828829
Ty Lawson,DEN,62,36.0524193548,1.35483870968,5.95161290323,3.56451612903,0.258064516129,1.6935483871,1.95161290323,10.7419354839,56.935483871,18.1774193548,1.29032258065,4.11290322581,0.161290322581,1.61290322581,4.0,81.3387096774,6.91827956989
Joe Johnson,BKN,78,32.7297008547,0.884615384615,4.25641025641,2.26923076923,0.820512820513,3.94871794872,4.37179487179,3.62820512821,28.9230769231,5.42307692308,1.20512820513,4.01282051282,0.128205128205,0.602564102564,3.9,46.1025641026,2.26688034188
Tony Parker,SAS,68,29.5350490196,0.117647058824,4.72058823529,4.88235294118,0.838235294118,0.852941176471,1.47058823529,10.3676470588,55.5588235294,12.0147058824,0.632352941176,2.86764705882,0.132352941176,0.529411764706,4.5,76.9705882353,6.19583333333
