birth.birthDate.date,birth.birthDate.full,birth.birthDate.month,birth.birthDate.year,birth.city,birth.country.abbreviation,birth.country.countryId,birth.country.name,birth.state.abbreviation,birth.state.name,birth.state.stateId,college.collegeId,college.commonName,college.fullName,death.deathDate.date,death.deathDate.full,death.deathDate.month,death.deathDate.year,displayId,displayName,draft.overallPickNumber,draft.round,draft.roundPickNumber,draft.team.abbreviation,draft.team.location,draft.team.nickname,draft.team.teamId,draft.year,experience.experience,experience.yearFirst,experience.yearRookie,firstName,height.centimeters,height.inches,highSchool.city,highSchool.country.abbreviation,highSchool.country.countryId,highSchool.country.name,highSchool.name,highSchool.state.abbreviation,highSchool.state.name,highSchool.state.stateId,hometown.city,hometown.country.abbreviation,hometown.country.countryId,hometown.country.name,hometown.state.abbreviation,hometown.state.name,hometown.state.stateId,isActive,isInjured,isSuspended,lastName,playerId,positions.name,team.abbreviation,team.location,team.nickname,team.teamId,uniform,weight.kilograms,weight.pounds
24.0,1994-05-24,5.0,1994.0,Baton Rouge,USA,1.0,United States,LA,Louisiana,18.0,76.0,LSU,Louisiana State University,,,,,0,,25.0,1.0,25.0,Mem,Memphis,Grizzlies,29.0,2015.0,,2015.0,2015.0,Jarell,208.0,82.0,,,,,Madison Prep HS,,,,Baton Rouge,USA,1.0,United States,LA,Louisiana,18.0,True,True,False,Martin,744245,PF,Mem,Memphis,Grizzlies,29.0,10,106.59,235.0
13.0,1989-06-13,6.0,1989.0,Gastonia,USA,1.0,United States,NC,North Carolina,33.0,176.0,Marshall,Marshall University,,,,,0,,33.0,2.0,3.0,Sac,Sacramento,Kings,23.0,2010.0,3.0,2010.0,2010.0,Hassan,213.0,84.0,Lenoir,USA,1.0,United States,The Patterson School,NC,North Carolina,33.0,Gastonia,USA,1.0,United States,NC,North Carolina,33.0,True,True,False,Whiteside,513234,C,Mia,Miami,Heat,14.0,21,106.59,235.0
21.0,1983-06-21,6.0,1983.0,Friendswood,USA,1.0,United States,TX,Texas,43.0,2243.0,Utah Valley University,Utah Valley University,,,,,0,,,,,,,,,,10.0,2005.0,2005.0,Ronnie,187.0,74.0,Friendswood,USA,1.0,United States,Clear Brook High School,TX,Texas,43.0,Friendswood,,,,,,,True,True,False,Price,76032,PG,Pho,Phoenix,Suns,21.0,14,86.18,190.0
25.0,1976-04-25,4.0,1976.0,St. Croix,VIR,6.0,U.S. Virgin Islands,,,,9.0,Wake Forest,Wake Forest University,,,,,0,,1.0,1.0,1.0,SA,San Antonio,Spurs,24.0,1997.0,18.0,1997.0,1997.0,Tim,210.0,83.0,St. Croix,VIR,6.0,U.S. Virgin Islands,St. Dunstan's Episcopal HS,,,,St. Croix,VIR,6.0,U.S. Virgin Islands,,,,True,True,False,Duncan,3155,C,SA,San Antonio,Spurs,24.0,21,113.4,250.0
1.0,1983-02-01,2.0,1983.0,Zanesville,USA,1.0,United States,OH,Ohio,35.0,179.0,Western Carolina,Western Carolina University,,,,,0,,26.0,1.0,26.0,Sac,Sacramento,Kings,23.0,2004.0,11.0,2004.0,2004.0,Kevin,200.0,79.0,Zanesville,USA,1.0,United States,Zanesville High School,OH,Ohio,35.0,Zanesville,,,,,,,True,True,False,Martin,66903,SG,Min,Minnesota,Timberwolves,16.0,23,92.53,204.0
11.0,1991-02-11,2.0,1991.0,Titograd,YUG,46.0,Yugoslavia,,,,,,,,,,,0,,23.0,1.0,23.0,Hou,Houston,Rockets,10.0,2011.0,1.0,2014.0,2014.0,Nikola,208.0,82.0,,,,,,,,,,,,,,,,True,True,False,Mirotic,599809,PF,Chi,Chicago,Bulls,4.0,44,99.79,220.0
21.0,1989-10-21,10.0,1989.0,Benin City,NGA,68.0,Nigeria,,,,72.0,Vanderbilt,Vanderbilt University,,,,,0,,30.0,1.0,30.0,GS,Golden State,Warriors,9.0,2012.0,2.0,2012.0,2012.0,Festus,210.0,83.0,,,,,Igbindedion Education Center,,,,Benin City,NGA,68.0,Nigeria,,,,True,True,False,Ezeli,417020,C,GS,Golden State,Warriors,9.0,31,120.2,265.0
28.0,1981-09-28,9.0,1981.0,Villanueva de la Serena,ESP,39.0,Spain,,,,,,,,,,,0,,,,,,,,,,10.0,2005.0,2005.0,Jose,190.0,75.0,,,,,,,,,,,,,,,,True,True,False,Calderon,296475,PG,NY,New York,Knicks,18.0,3,95.25,210.0
19.0,1989-09-19,9.0,1989.0,Chester,USA,1.0,United States,PA,Pennsylvania,38.0,101.0,Memphis,University of Memphis,,,,,0,,4.0,1.0,4.0,Sac,Sacramento,Kings,23.0,2009.0,6.0,2009.0,2009.0,Tyreke,198.0,78.0,Aston,USA,1.0,United States,American Christian School,PA,Pennsylvania,38.0,Chester,USA,1.0,United States,PA,Pennsylvania,38.0,True,True,False,Evans,464841,SG,NO,New Orleans,Pelicans,3.0,1,99.79,220.0
6.0,1993-01-06,1.0,1993.0,Arlington,USA,1.0,United States,MA,Massachusetts,21.0,104.0,Notre Dame,University of Notre Dame,,,,,0,,41.0,2.0,11.0,Bkn,Brooklyn,Nets,17.0,2015.0,,2015.0,2015.0,Pat,195.0,77.0,,,,,St. John's Prep,,,,Arlington,USA,1.0,United States,MA,Massachusetts,21.0,True,True,False,Connaughton,601514,SF,Por,Portland,Trail Blazers,22.0,5,95.25,210.0
13.0,1995-07-13,7.0,1995.0,Melbourne,AUS,8.0,Australia,,,,,,,,,,,0,,5.0,1.0,5.0,Uta,Utah,Jazz,26.0,2014.0,1.0,2014.0,2014.0,Dante,198.0,78.0,,,,,,,,,,,,,,,,True,True,False,Exum,830636,PG,Uta,Utah,Jazz,26.0,11,86.18,190.0
16.0,1994-03-16,3.0,1994.0,Yaounde,CMR,127.0,Cameroon,,,,20.0,Kansas,University of Kansas,,,,,0,,3.0,1.0,3.0,Phi,Philadelphia,76ers,20.0,2014.0,,2014.0,2014.0,Joel,213.0,84.0,,,,,The Rock School,,,,Yaounde,CMR,127.0,Cameroon,,,,True,True,False,Embiid,794508,C,Phi,Philadelphia,76ers,20.0,21,113.4,250.0
